song_id,title,album_id,creator,duration
1,Crab-eating raccoon,144,Clarie Davidsen,4:05
2,"Heron, boat-billed",66,Titos Swannick,3:15
3,"Brocket, brown",689,Brittan Southgate,4:40
4,Cuis,908,Rheta Cufflin,2:35
5,Giant heron,723,Tessy Cater,3:30
6,Grey phalarope,72,Saloma Bovey,2:00
7,Black-crowned night heron,905,Darrin Ornils,3:35
8,"Hyena, brown",596,Monte Maryman,4:05
9,Tiger cat,378,Nil Burthom,4:50
10,"Fox, blue",464,Marinna Dast,2:30
11,"Plover, blacksmith",580,Renate Vlies,3:35
12,Four-striped grass mouse,975,Jaymee Freak,4:10
13,"Boa, columbian rainbow",39,Jeniece Honack,3:30
14,Spotted deer,167,Janessa Bengough,3:40
15,Greater rhea,148,Kerrill Schleswig-Holstein,4:10
16,"Cat, african wild",304,Lutero Shergold,2:00
17,Crowned eagle,254,Huey Giovannazzi,3:40
18,Swallow (unidentified),214,Anjanette Boreham,2:10
19,"Bee-eater, carmine",783,Wilek Dilks,2:30
20,"Lion, asian",923,Nat Wager,4:40
21,"Hornbill, leadbeateri's ground",968,Jodi Stainland,3:55
22,Guerza,353,Eldredge Scarsbrick,2:15
23,Indian tree pie,413,Goddard Giraudot,2:35
24,"Turtle, snake-necked",129,Evelyn Baldacchi,3:05
25,"Squirrel, pine",171,Arline Colleck,3:55
26,"Rattlesnake, eastern diamondback",342,Charmian Seed,3:05
27,"Badger, european",895,Randolph Lowne,3:20
28,Jabiru stork,593,Dorine Gallyon,4:20
29,"Sandgrouse, yellow-throated",345,Rhea Ranyelld,4:50
30,White-throated monitor,718,Sharline Ausello,4:50
31,Red-tailed cockatoo,379,Tammy Hedde,4:00
32,Rhesus macaque,287,Tobias Earsman,2:35
33,"Sloth, two-toed tree",791,See Easterling,4:20
34,"Stork, jabiru",756,Leicester Kellick,4:00
35,African porcupine,11,Jasmin Kenworthey,2:35
36,Blesbok,216,Lanny Leifer,3:35
37,"Crane, wattled",799,Butch Marrable,4:25
38,"Wolf, timber",424,Madge Cockcroft,2:15
39,Gray rhea,474,Marje Wendover,4:50
40,"Gull, dusky",344,Tiertza Musslewhite,2:20
41,African bush squirrel,438,Edin Ferres,3:25
42,"Gull, kelp",253,Suzette Ber,2:20
43,Red-winged blackbird,894,Birch Farahar,3:05
44,"Dolphin, common",500,Elie Adess,3:35
45,Common waterbuck,63,Bartholomeus Keary,4:00
